id,createTime,diggCount,shareCount,playCount,commentCount,hashtag_foryoupage,hashtag_fyp
6902096916776209665,1607019670,39200,103,230700,250,False,True
6889414816922930433,1604066888,26700,340,188400,356,False,True
6889414816922930433,1604066888,26700,340,188400,356,False,True
6880501583231061249,1601991616,307,0,977,5,False,False
6880501583231061249,1601991616,307,0,977,5,True,False
6907309069904776454,1608233235,8839,43,74000,436,False,True
6907309069904776454,1608233235,8839,43,74000,436,True,False
6893846505656995073,1605098721,2906,82,436400,49,False,False
6893846505656995073,1605098721,2906,82,436400,49,False,True
6893481053441281282,1605013633,3644,7,47700,19,False,True
6893481053441281282,1605013633,3644,7,47700,19,True,False
6876369534018669825,1601029547,7045,88,46800,232,False,True
6876369534018669825,1601029547,7045,88,46800,232,False,False
6900256765527477506,1606591226,2384,28,34300,60,False,False
6904736629454359813,1607634293,12400,66,62400,702,False,True
6904736629454359813,1607634293,12400,66,62400,702,True,False
6905378500392324354,1607783723,19600,68,348600,142,False,True
6889818292337249538,1604160829,1535,159,47300,96,False,True
6889521293306236161,1604091680,6276,320,129900,50,False,True
6896543335259933958,1605726667,28800,283,337000,181,False,True
6896543335259933958,1605726667,28800,283,337000,181,False,False
6905462755919269121,1607803341,145200,1219,1500000,1444,False,True
6905462755919269121,1607803341,145200,1219,1500000,1444,True,False
6905462755919269121,1607803341,145200,1219,1500000,1444,False,False
6890631109583867137,1604350079,58000,1417,186800,725,False,False
6890631109583867137,1604350079,58000,1417,186800,725,False,True
6906224943332068610,1607980803,17100,84,345200,321,False,False
6890568657986931970,1604335538,14400,769,246900,295,False,True
6908298047470472450,1608463482,22800,800,153100,297,False,True
6892735023372389634,1604839933,1806,2,49000,7,False,True
6891327911140314370,1604512315,4239,829,80500,206,False,False
6891327911140314370,1604512315,4239,829,80500,206,False,True
6899499316600147201,1606414869,29500,2232,190100,841,False,False
6906112097554271490,1607954527,2190,70,35400,74,False,False
6906112097554271490,1607954527,2190,70,35400,74,True,False
6906112097554271490,1607954527,2190,70,35400,74,False,True
6891017445188848898,1604440030,4074,23,37500,78,True,False
6891017445188848898,1604440030,4074,23,37500,78,False,True
6891017445188848898,1604440030,4074,23,37500,78,False,False
6895042572994104581,1605377239,7281,226,125200,175,False,True
6887391026848320774,1603595721,8851,115,88800,334,False,True
6895089837150440710,1605388242,16400,25,95000,520,False,True
6878834531911224577,1601603474,1650,26,30100,37,False,True
6878834531911224577,1601603474,1650,26,30100,37,False,False
6878834531911224577,1601603474,1650,26,30100,37,True,False
6877178763474423041,1601217960,1868,123,12100,263,False,False
6877178763474423041,1601217960,1868,123,12100,263,True,False
6893175582482255109,1604942558,2395,269,85900,38,False,True
6893175582482255109,1604942558,2395,269,85900,38,False,False
6893175582482255109,1604942558,2395,269,85900,38,True,False
6878259877353966850,1601469676,10600,162,145100,101,False,True
6878259877353966850,1601469676,10600,162,145100,101,False,False
6907916640386813185,1608374679,1579,8,55600,13,False,True
6892345024227331330,1604749130,12100,270,165800,161,False,False
6885675789090704641,1603196328,18900,1708,170100,740,False,True
6903898067490163969,1607439032,23200,51,194200,2104,False,True
6882831253519731970,1602534033,22500,1396,196100,262,False,True
6882831253519731970,1602534033,22500,1396,196100,262,False,False
6883841665841270017,1602769288,243400,2386,3100000,739,True,False
6883841665841270017,1602769288,243400,2386,3100000,739,False,False
6902406836176162049,1607091831,3139,49,23400,135,False,True
6895317957522541825,1605441320,22200,2541,420000,1006,False,True
6893521307023969538,1605023004,8161,420,66100,131,False,True
6901356285833252098,1606847228,2308,74,31000,97,False,True
6876245387871587590,1601000679,23200,3008,462600,102,False,True
6876245387871587590,1601000679,23200,3008,462600,102,False,False
6881741305345592577,1602280261,9136,134,179900,43,False,True
6881741305345592577,1602280261,9136,134,179900,43,True,False
6901026135119760642,1606770359,21800,457,267300,80,False,True
6876007447883042050,1600945242,2914,165,23300,19,False,True
6895851157751680258,1605565467,9030,63,79200,239,False,True
6895851157751680258,1605565467,9030,63,79200,239,False,True
6895851157751680258,1605565467,9030,63,79200,239,False,True
6878751105589824770,1601584049,580,256,85600,0,False,True
6882153629034269957,1602376291,3055,8,88300,54,False,True
6877747486451043590,1601350420,32200,215,123900,2186,False,True
6900396011722689793,1606623647,7064,103,70600,102,True,False
6900396011722689793,1606623647,7064,103,70600,102,False,False
6888849748615367937,1603935325,1770,38,25400,29,False,True
6888849748615367937,1603935325,1770,38,25400,29,False,False
6888849748615367937,1603935325,1770,38,25400,29,True,False
6902555378651794690,1607126415,102000,6645,1100000,644,False,True
6907297390638714118,1608230518,15700,125,90000,142,False,True
6907297390638714118,1608230518,15700,125,90000,142,False,False
6906519148025629953,1608049301,46900,812,488800,489,False,False
6900563923892800769,1606662741,20200,543,87700,333,False,True
6900563923892800769,1606662741,20200,543,87700,333,True,False
6893741937132604673,1605074375,2704,25,35000,48,False,True
6893741937132604673,1605074375,2704,25,35000,48,True,False
6899108523091823874,1606323880,1269,29,259400,10,False,True
6896571117419416834,1605733100,2471,7,157200,10,False,True
6896571117419416834,1605733100,2471,7,157200,10,False,False
6904651986059218178,1607614568,2163,51,35100,22,True,False
6904651986059218178,1607614568,2163,51,35100,22,False,True
6902724999757532418,1607165906,161200,55500,3600000,0,False,True
6902724999757532418,1607165906,161200,55500,3600000,0,False,False
6884777374508911874,1602987150,24000,481,188500,134,False,True
6884777374508911874,1602987150,24000,481,188500,134,True,False
6905063271129287938,1607710329,13500,328,189700,115,False,True
6899411373265063170,1606394393,2287,22,28700,63,False,False
6907540932682321153,1608287203,30000,4415,395100,780,False,False
6907540932682321153,1608287203,30000,4415,395100,780,False,True
6884114945026411778,1602832916,39000,976,1300000,200,False,False
6884114945026411778,1602832916,39000,976,1300000,200,True,False
6884114945026411778,1602832916,39000,976,1300000,200,False,True
6908143157616151813,1608427435,5023,21,79600,75,False,False
6908143157616151813,1608427435,5023,21,79600,75,False,True
6890903823381056769,1604413574,37000,1008,530900,67,False,False
6899852150793358594,1606497019,15000,527,249400,50,False,True
6891455289002839301,1604542002,25100,148,184200,319,False,True
6891455289002839301,1604542002,25100,148,184200,319,True,False
6891455289002839301,1604542002,25100,148,184200,319,False,False
6884574278134582529,1602939862,6972,866,86200,64,False,False
6906503615284808961,1608045685,4262,14,30100,354,True,False
6906503615284808961,1608045685,4262,14,30100,354,False,True
6906503615284808961,1608045685,4262,14,30100,354,False,False
6906503615284808961,1608045685,4262,14,30100,354,True,False
6906503615284808961,1608045685,4262,14,30100,354,True,False
6906503615284808961,1608045685,4262,14,30100,354,False,True
6906503615284808961,1608045685,4262,14,30100,354,True,False
6906503615284808961,1608045685,4262,14,30100,354,False,True
6906503615284808961,1608045685,4262,14,30100,354,True,False
6906503615284808961,1608045685,4262,14,30100,354,False,True
6906503615284808961,1608045685,4262,14,30100,354,False,True
6881844264750353665,1602304233,86200,3311,434600,1083,False,True
6881844264750353665,1602304233,86200,3311,434600,1083,False,False
6876827705950752005,1601136277,127000,5722,3900000,1887,True,False
6876827705950752005,1601136277,127000,5722,3900000,1887,False,True
6901719665584672005,1606931872,13000,21,248000,865,False,True
